# phi u uprime x y
22.675 1 0 -0.775145 -0.631783
22.725 1 0 -0.7426 -0.669735
22.775 1 0 -0.7082 -0.706012
22.825 1 0 -0.672029 -0.740525
22.875 1 0 -0.634178 -0.773187
22.925 1 0 -0.594742 -0.803917
22.975 1 0 -0.55382 -0.832637
23.025 1 0 -0.511513 -0.859275
23.075 1 0 -0.467928 -0.883767
23.125 1 0 -0.423173 -0.906049
23.175 1 0 -0.377361 -0.926066
23.225 1 0 -0.330605 -0.943769
23.275 1 0 -0.283023 -0.959113
23.325 1 0 -0.234734 -0.97206
23.375 1 0 -0.185858 -0.982577
23.425 1 0 -0.136517 -0.990638
23.475 1 0 -0.0868354 -0.996223
23.525 1 0 -0.0369365 -0.999318
23.575 1 0 0.0130547 -0.999915
23.625 1 0 0.0630133 -0.998013
23.675 1 0 0.112814 -0.993616
23.725 1 0 0.162334 -0.986736
23.775 1 0 0.211447 -0.977389
23.825 1 0 0.260032 -0.9656
23.875 1 0 0.307967 -0.951397
23.925 1 0 0.355132 -0.934816
23.975 1 0 0.401409 -0.915899
24.025 1 0 0.446684 -0.894692
24.075 1 0 0.490841 -0.871249
24.125 1 0 0.533772 -0.845628
24.175 1 0 0.575369 -0.817894
24.225 1 0 0.615527 -0.788115
24.275 1 0 0.654148 -0.756367
24.325 1 0 0.691133 -0.722728
24.375 1 0 0.72639 -0.687282
24.425 1 0 0.759832 -0.650119
24.475 1 0 0.791375 -0.611331
24.525 1 0 0.82094 -0.571015
24.575 1 0 0.848453 -0.529271
24.625 1 0 0.873845 -0.486205
24.675 1 0 0.897053 -0.441923
24.725 1 0 0.918019 -0.396537
24.775 1 0 0.93669 -0.350159
24.825 1 0 0.95302 -0.302907
24.875 1 0 0.966968 -0.254897
24.925 1 0 0.978499 -0.20625
24.975 1 0 0.987585 -0.157088
25.025 1 0 0.994202 -0.107533
25.075 1 0 0.998333 -0.0577091
25.125 1 0 0.99997 -0.00774115
25.175 1 0 0.999107 0.0422462
25.225 1 0 0.995747 0.0921279
25.275 1 0 0.989898 0.141779
25.325 1 0 0.981575 0.191077
25.375 1 0 0.970799 0.239896
25.425 1 0 0.957596 0.288116
25.475 1 0 0.941999 0.335616
25.525 1 0 0.924048 0.382277
25.575 1 0 0.903787 0.427982
25.625 1 0 0.881268 0.472618
25.675 1 0 0.856545 0.516072
25.725 1 0 0.829682 0.558237
25.775 1 0 0.800745 0.599006
25.825 1 0 0.769806 0.638278
25.875 1 0 0.736944 0.675954
25.925 1 0 0.702239 0.711941
25.975 1 0 0.665779 0.746149
26.025 1 0 0.627655 0.778491
26.075 1 0 0.587962 0.808888
26.125 1 0 0.5468 0.837263
26.175 1 0 0.504271 0.863545
26.225 1 0 0.460482 0.887669
26.275 1 0 0.415541 0.909574
26.325 1 0 0.369562 0.929206
26.375 1 0 0.322659 0.946515
26.425 1 0 0.27495 0.961459
26.475 1 0 0.226553 0.973999
26.525 1 0 0.177591 0.984104
26.575 1 0 0.128184 0.99175
26.625 1 0 0.0784568 0.996918
26.675 1 0 0.0285337 0.999593
26.725 1 0 -0.0214608 0.99977
26.775 1 0 -0.0714016 0.997448
26.825 1 0 -0.121164 0.992633
26.875 1 0 -0.170624 0.985336
26.925 1 0 -0.219657 0.975577
26.975 1 0 -0.268141 0.96338
27.025 1 0 -0.315954 0.948774
27.075 1 0 -0.362979 0.931798
27.125 1 0 -0.409095 0.912492
27.175 1 0 -0.45419 0.890905
27.225 1 0 -0.498149 0.867092
27.275 1 0 -0.540863 0.841111
27.325 1 0 -0.582225 0.813028
27.375 1 0 -0.622132 0.782913
27.425 1 0 -0.660483 0.750841
27.475 1 0 -0.697184 0.716892
27.525 1 0 -0.732143 0.681151
27.575 1 0 -0.765271 0.643708
27.625 1 0 -0.796487 0.604656
27.675 1 0 -0.825712 0.564093
27.725 1 0 -0.852873 0.522119
27.775 1 0 -0.877902 0.478841
27.825 1 0 -0.900737 0.434366
27.875 1 0 -0.92132 0.388805
27.925 1 0 -0.939601 0.342272
27.975 1 0 -0.955533 0.294884
28.025 1 0 -0.969077 0.246758
28.075 1 0 -0.980199 0.198016
28.125 1 0 -0.98887 0.148779
28.175 1 0 -0.99507 0.0991706
28.225 1 0 -0.998783 0.0493139
28.275 1 0 -1 -0.000666118
28.325 1 0 -0.998717 -0.0506444
28.375 1 0 -0.994937 -0.100496
28.425 1 0 -0.988671 -0.150097
28.475 1 0 -0.979934 -0.199322
28.525 1 0 -0.968747 -0.248049
28.575 1 0 -0.955139 -0.296157
28.625 1 0 -0.939144 -0.343523
28.675 1 0 -0.920801 -0.390032
28.725 1 0 -0.900157 -0.435565
28.775 1 0 -0.877263 -0.48001
28.825 1 0 -0.852176 -0.523255
28.875 1 0 -0.824959 -0.565192
28.925 1 0 -0.79568 -0.605717
28.975 1 0 -0.764413 -0.644727
29.025 1 0 -0.731235 -0.682126
29.075 1 0 -0.696229 -0.71782
29.125 1 0 -0.659483 -0.75172
29.175 1 0 -0.621088 -0.783741
29.225 1 0 -0.581141 -0.813803
29.275 1 0 -0.539742 -0.841831
29.325 1 0 -0.496993 -0.867754
29.375 1 0 -0.453002 -0.891509
29.425 1 0 -0.407879 -0.913036
29.475 1 0 -0.361737 -0.93228
29.525 1 0 -0.31469 -0.949194
29.575 1 0 -0.266857 -0.963736
29.625 1 0 -0.218357 -0.975869
29.675 1 0 -0.169311 -0.985563
29.725 1 0 -0.119841 -0.992793
29.775 1 0 -0.0700727 -0.997542
29.825 1 0 -0.0201288 -0.999797
29.875 1 0 0.0298653 -0.999554
29.925 1 0 0.0797849 -0.996812
29.975 1 0 0.129505 -0.991579
30.025 1 0 0.178901 -0.983867
30.075 1 0 0.227851 -0.973696
30.125 1 0 0.276231 -0.961091
30.175 1 0 0.32392 -0.946085
30.225 1 0 0.3708 -0.928713
30.275 1 0 0.416752 -0.90902
30.325 1 0 0.461664 -0.887055
30.375 1 0 0.505421 -0.862873
30.425 1 0 0.547915 -0.836534
30.475 1 0 0.58904 -0.808104
30.525 1 0 0.628692 -0.777655
30.575 1 0 0.666773 -0.745261
30.625 1 0 0.703187 -0.711005
30.675 1 0 0.737843 -0.674972
30.725 1 0 0.770656 -0.637251
30.775 1 0 0.801542 -0.597938
30.825 1 0 0.830425 -0.557131
30.875 1 0 0.857232 -0.51493
30.925 1 0 0.881896 -0.471443
30.975 1 0 0.904357 -0.426778
31.025 1 0 0.924556 -0.381045
31.075 1 0 0.942445 -0.33436
31.125 1 0 0.957979 -0.28684
31.175 1 0 0.971117 -0.238603
31.225 1 0 0.981829 -0.189769
31.275 1 0 0.990086 -0.140461
31.325 1 0 0.995869 -0.0908013
31.375 1 0 0.999163 -0.0409151
31.425 1 0 0.999959 0.00907334
31.475 1 0 0.998256 0.0590391
31.525 1 0 0.994057 0.108857
31.575 1 0 0.987374 0.158403
31.625 1 0 0.978224 0.207554
31.675 1 0 0.966628 0.256185
31.725 1 0 0.952616 0.304176
31.775 1 0 0.936223 0.351407
31.825 1 0 0.91749 0.397759
31.875 1 0 0.896463 0.443118
31.925 1 0 0.873196 0.487368
