# x target network target_derivative network_derivative target_second_derivative network_second_derivative network_antiderivative
0.16 0.955295 1.12142 0.662545 0.644008 -26.3148 -33.2845 -0.011437
0.17 0.960605 1.1262 0.3993 0.311453 -26.3189 -33.1991 -0.000196158
0.18 0.963283 1.12766 0.136471 -0.0194318 -26.2317 -32.9511 0.0110759
0.19 0.963338 1.12582 -0.125033 -0.347037 -26.0542 -32.5436 0.022346
0.2 0.960789 1.12073 -0.384316 -0.669787 -25.7876 -31.9808 0.0335814
0.21 0.955662 1.11245 -0.640493 -0.986153 -25.4335 -31.2679 0.04475
0.22 0.947993 1.10103 -0.8927 -1.29466 -24.9938 -30.411 0.0558199
0.23 0.937825 1.08658 -1.14009 -1.59392 -24.4708 -29.4171 0.0667605
0.24 0.92521 1.06919 -1.38185 -1.88258 -23.8673 -28.2943 0.0775418
0.25 0.910209 1.04897 -1.61718 -2.1594 -23.186 -27.0511 0.0881349
0.26 0.89289 1.02605 -1.84532 -2.42323 -22.4303 -25.6969 0.0985122
0.27 0.873329 1.00055 -2.06555 -2.673 -21.6038 -24.2416 0.108647
0.28 0.851608 0.972637 -2.27717 -2.90776 -20.71 -22.6958 0.118515
0.29 0.827816 0.942451 -2.47954 -3.12665 -19.7533 -21.0701 0.128092
0.3 0.80205 0.910159 -2.67204 -3.32893 -18.7376 -19.3759 0.137357
0.31 0.77441 0.87593 -2.85411 -3.51398 -17.6677 -17.6244 0.146289
0.32 0.745004 0.839939 -3.02523 -3.68127 -16.548 -15.8273 0.15487
0.33 0.713944 0.802365 -3.18492 -3.83041 -15.3834 -13.996 0.163083
0.34 0.681346 0.763392 -3.33276 -3.96111 -14.1788 -12.142 0.170913
0.35 0.647329 0.723205 -3.46838 -4.07321 -12.9394 -10.2768 0.178346
0.36 0.61202 0.68199 -3.59145 -4.16665 -11.6701 -8.41132 0.185373
0.37 0.575543 0.639934 -3.7017 -4.24147 -10.3763 -6.55652 0.191983
0.38 0.538029 0.597222 -3.79891 -4.29785 -9.06321 -4.72276 0.19817
0.39 0.499609 0.554038 -3.88292 -4.33603 -7.73605 -2.92004 0.203926
0.4 0.460415 0.510561 -3.9536 -4.35638 -6.40011 -1.15779 0.20925
0.41 0.420582 0.466968 -4.01091 -4.35935 -5.06061 0.555097 0.214137
0.42 0.380242 0.42343 -4.05482 -4.34547 -3.72273 2.21036 0.218589
0.43 0.33953 0.380113 -4.08538 -4.31536 -2.39155 3.8004 0.222607
0.44 0.298578 0.337175 -4.10269 -4.26971 -1.07209 5.31834 0.226193
0.45 0.25752 0.294768 -4.10688 -4.20926 0.23077 6.75799 0.229352
0.46 0.216484 0.253036 -4.09815 -4.13483 1.5123 8.11394 0.23209
0.47 0.175599 0.212115 -4.07672 -4.04727 2.76791 9.38153 0.234415
0.48 0.134991 0.172131 -4.04289 -3.9475 3.9932 10.5569 0.236336
0.49 0.0947814 0.133203 -3.99697 -3.83645 5.18394 11.6369 0.237861
0.5 0.0550902 0.0954368 -3.93934 -3.71509 6.33615 12.6191 0.239004
0.51 0.0160323 0.0589319 -3.87039 -3.5844 7.44605 13.502 0.239774
0.52 -0.0222814 0.0237765 -3.79057 -3.44539 8.51009 14.2846 0.240187
0.53 -0.0597445 -0.0099514 -3.70035 -3.29905 9.52498 14.9668 0.240255
0.54 -0.0962555 -0.0421834 -3.60025 -3.14638 10.4877 15.549 0.239993
0.55 -0.131718 -0.0728613 -3.49078 -2.9884 11.3955 16.0324 0.239416
0.56 -0.166042 -0.101937 -3.37253 -2.82606 12.2459 16.4186 0.238541
0.57 -0.199141 -0.129371 -3.24606 -2.66034 13.0366 16.71 0.237383
0.58 -0.230938 -0.155135 -3.112 -2.49217 13.7659 16.9093 0.235959
0.59 -0.261358 -0.179209 -2.97096 -2.32245 14.432 17.0198 0.234286
0.6 -0.290336 -0.201582 -2.82357 -2.15206 15.0337 17.0452 0.23238
0.61 -0.317811 -0.222251 -2.6705 -1.98182 15.5699 16.9896 0.23026
0.62 -0.343729 -0.241222 -2.5124 -1.81252 16.0399 16.8572 0.227941
0.63 -0.368044 -0.258507 -2.34992 -1.64491 16.4433 16.6528 0.225441
0.64 -0.390715 -0.274128 -2.18375 -1.47969 16.7799 16.3812 0.222776
0.65 -0.411709 -0.288111 -2.01455 -1.31749 17.0498 16.0476 0.219964
0.66 -0.430998 -0.30049 -1.84298 -1.15893 17.2534 15.6569 0.21702
0.67 -0.448563 -0.311303 -1.6697 -1.00453 17.3914 15.2147 0.213959
0.68 -0.464389 -0.320596 -1.49536 -0.854787 17.4648 14.726 0.210799
0.69 -0.478469 -0.328416 -1.32061 -0.710144 17.4747 14.1963 0.207552
0.7 -0.490802 -0.334817 -1.14608 -0.570981 17.4226 13.6307 0.204235
